address,num_room,district,age,sa,sap,gfa,gfap,price,monthly,convenience,efficiency,region
GREEN LEAVES GARDEN・BLOCK A,2,Sha Tin,37,421,12541,523,10095,5.28,17913,9,80,NT East
KAM ON COURT・PO ON HOUSE (BLOCK C),2,Heng On,36,401,10673,512,8359,4.28,14520,6,78,NT East
CENTURY GATEWAY・Phase 1・TOWER 1,3,Tuen Mun Town Centre,11,722,12465,923,9750,9.0,30533,4,78,NT West
CENTURY GATEWAY・PHASE 1・TOWER 5,3,Tuen Mun Town Centre,11,646,12662,839,9749,8.18,27751,4,76,NT West
EMERALD GREEN・BLOCK 2,2,Yuen Long Town Centre,14,526,10513,686,8061,5.53,18761,2,76,NT East
WHAMPOA GARDEN・PHASE 2 CHERRY MANSIONS・BLOCK 16,2,Whampoa,37,389,16401,469,13603,6.38,21644,3,82,Kowloon
Wah Wai Mansion,2,Jordan,44,321,13395,420,10238,4.3,14588,5,76,Kowloon
CENTURY GATEWAY・Phase 1・TOWER 1,3,Tuen Mun Town Centre,11,619,12924,817,9791,8.0,27140,4,75,NT West
PARKVIEW COURT,2,Tuen Mun Town Centre,24,418,8803,589,6247,3.68,12485,10,70,NT West
THE METRO CITY・PHASE 1・TOWER 5,1,Po Lam,27,364,14230,487,10636,5.18,17573,3,74,NT East
METRO TOWN・Phase 1・TOWER 3,2,Tiu Keng Leng,18,487,14989,657,11111,7.3,24766,5,74,NT East
OCEAN SHORES・Phase 2・TOWER 8,2,Tiu Keng Leng,22,498,12811,683,9341,6.38,21644,8,72,NT East
Park Central・Phase 2・Tower 2,3,Tseung Kwan O,21,684,12426,908,9361,8.5,28837,4,75,NT East
Park Central・PHASE 1・Tower 8,2,Tseung Kwan O,22,406,15270,546,11355,6.2,21034,5,74,NT East
Tseung Kwan O Plaza・Phase 1・Tower 3,2,Tseung Kwan O,21,429,13869,590,10084,5.95,20186,5,72,NT East
The Belcher's・PHASE 1・Tower 2,2,Mid-Levels West,23,664,21837,858,16899,14.5,49192,2,77,HK Island
The Metro City・Phase 1・Tower 3,2,Po Lam,27,420,13809,584,9931,5.8,19677,3,71,NT East
TSEUNG KWAN O PLAZA・PHASE 1・TOWER 3A,3,Tseung Kwan O,21,533,14634,708,11016,7.8,26462,5,75,NT East
Park Central・PHASE 2・Tower 3,2,Tseung Kwan O,21,465,12473,617,9400,5.8,19677,4,75,NT East
